MA2,DH5,DL18,FH3,RA1,RA3,CR1,TA2
4.41,9.952603175,0,26.83333333,2.6251592,-1.110252501,0.791858818,0.324910305
6.36,15.51919608,0,28.63888889,4.382873362,-1.756753383,1.005095687,0.365653236
4.02,10.32306349,0,34.41666667,2.143667954,-0.876358452,0.787517619,0.357421715
5.25,12.30937374,0,29.97222222,3.41847297,-1.696695918,0.978060802,0.333399028
5,11.82105714,0,28.61111111,2.261973454,-1.103822955,0.821185053,0.344753968
4.42,9.335316993,0,18.86111111,1.531340951,-0.829712048,0.685031374,0.366769674
0.41,3.006131944,0,71.5,0.146890185,-0.083471302,0.241028724,0.920693296
0.76,4.938019048,0,87.38888889,0.505223967,-0.240386313,0.338533231,0.570982189
1.47,6.274793651,0,66.08333333,0.52664261,-0.235003852,0.369010473,0.379843844
0.59,4.401073016,0,72.11111111,0.181361816,-0.133159098,0.217788224,0.802426682
0.69,3.222533333,0,63.30555556,0.110267229,-0.07391079,0.228940999,0.768762712
0.22,0.435644444,0,12.97222222,0.031112527,-0.025547826,0.062070876,0.452781307
0.07,0.739235294,0.361111111,90.91666667,0.05175772,-0.037499283,0.067025525,0.491880698
0.9,4.184828571,0,61.11111111,0.185738706,-0.110619006,0.262696381,0.614539863
0.7,8.092869841,0,87.77777778,0.622429349,-0.410793569,0.456696662,0.644151247
0.48,4.380838095,0,75.75,0.209471813,-0.133275751,0.235582168,0.822528293
0.74,4.700688889,0,83.44444444,0.293210396,-0.167380381,0.338993379,0.652688627
0.82,3.831488889,0,76.27777778,0.569004754,-0.268085996,0.375517372,0.568594933
1.25,5.801603175,0,76.13888889,1.722227913,-0.712682216,0.401014847,0.427928641
3.97,6.873149206,0,4.944444444,0.322014089,-0.119214294,0.624044363,0.411795924
0.96,5.852228571,0,81.41666667,1.042675751,-0.431737179,0.402734885,0.515528835
3.83,12.08151307,0,43.80555556,3.521988933,-1.379079755,0.792876096,0.403464627
3.5,12.78244762,0,54.88888889,3.889162287,-1.501545346,0.829749599,0.411513952
3.55,10.92289869,0,42.02777778,2.531639752,-0.961077068,0.756871453,0.387781859
1.67,8.857127451,0,78.27777778,1.511223545,-0.576184724,0.593456239,0.445110873
1.88,9.390784127,0,73.36111111,1.985525952,-0.688518119,0.630868981,0.450510208
0.69,6.72452381,0,101.8611111,2.154206257,-0.774915231,0.466557026,0.532899174
1.37,6.89747619,0,78.63888889,1.954169897,-0.798305398,0.469534021,0.436173662
2.93,19.10106032,0,90.66666667,5.829656518,-1.742770972,1.05856021,0.454192392
0.25,7.049794118,31.88888889,106.9166667,3.301450245,-1.384862591,0.408391542,0.69830757
0.1,3.293409524,73.66666667,97.13888889,2.030731146,-0.764950641,0.268369751,0.879736863
0.14,3.472930159,42.86111111,95,1.569296833,-0.603920641,0.25402813,0.849411501
0.88,6.570104762,0,66.75,2.152280936,-0.867234445,0.485710225,0.494487038
2.32,13.72324444,0,64.69444444,4.687441933,-1.719540388,1.132834255,0.327349922
0.5,4.388342857,0.222222222,60.36111111,1.471132898,-0.547977558,0.268190202,0.674326615
0.21,3.910542857,10.55555556,73.63888889,1.75944334,-0.681701079,0.279136233,0.833204072
0.52,4.232666667,0.361111111,61.27777778,1.280076309,-0.518093369,0.263448268,0.681745845
0.07,2.439055556,77.36111111,90.94444444,1.361415981,-0.520854643,0.16043733,0.836489079
0.58,5.237505051,1.027777778,73.63888889,1.725446606,-0.615604987,0.354809548,0.601972072
0,1.480593651,200.75,138.3055556,2.310699894,-0.844521503,0.107757781,0.810690296
0.01,0.678479365,125.4444444,86.83333333,0.99511194,-0.428354684,0.044231844,0.705597277
0,0.914688889,209.0277778,134.8055556,1.500375691,-0.59710252,0.053803729,0.787520656
0,1.040352381,174.0277778,160.5,1.745195531,-0.81562601,0.080133265,0.83539232
0.01,1.107063492,136,104.1944444,1.228555759,-0.457392628,0.06487031,0.761490677
0.1,2.275918301,49.83333333,96.33333333,1.824268228,-0.652446889,0.165457688,0.793156313
0.05,2.119637255,67.61111111,90.77777778,2.299109835,-0.742317865,0.124882406,0.840040467
0.01,1.167580952,160,107.9444444,2.135140112,-0.975097403,0.095659916,0.809651467
0.33,4.704745098,3.777777778,87.38888889,2.804714704,-1.083098969,0.327481911,0.653940999
0.28,1.842615873,0.75,58.55555556,0.70704287,-0.356683839,0.138698026,0.683985205
0.18,1.733930159,21.02777778,74.11111111,0.79571799,-0.369954785,0.11982927,0.677651698
0.3,1.27608254,0.305555556,56.83333333,0.621290952,-0.229424378,0.164708067,0.533862642
0.16,1.760183007,16.08333333,68.22222222,1.654616157,-0.502628399,0.210057693,0.76227519
0.15,1.892581699,15.33333333,75.94444444,1.863966416,-0.514293228,0.177615123,0.783778748
0.57,1.77,0,31.36111111,0.466749164,-0.178302875,0.166634409,0.711095713
0.05,0.902946032,49.30555556,76.5,0.815453972,-0.313807328,0.077730143,0.617047266
0.19,0.693206349,4.027777778,54.80555556,0.193815217,-0.082887029,0.071912144,0.332637633
0.35,1.67388254,10.05555556,74.52777778,0.362375099,-0.128598565,0.141903743,0.634820553
0.34,1.310911111,1.305555556,63.86111111,0.296771536,-0.10907466,0.119826573,0.540622134
0.1,0.521787302,2.25,42.08333333,0.244498789,-0.105364225,0.043467365,0.257657406
0.38,1.877003175,0.944444444,73.72222222,0.351576445,-0.139203107,0.162395088,0.773139314
0.45,2.291101587,1.027777778,81.69444444,0.535374465,-0.204595258,0.212187232,0.832894484
0.5,0.947294118,0,13.83333333,0.196134343,-0.086736566,0.106468108,0.341682007
1.91,5.684114286,0.611111111,49.69444444,0.634328025,-0.29649876,0.482204921,0.329396951
1.26,3.669257143,0,53.72222222,0.839074026,-0.416545339,0.440765569,0.343518264
2.77,8.451419048,0,75.11111111,3.707744309,-2.037253126,0.868472232,0.223105732
2.62,8.200183007,0,62.22222222,3.803503611,-1.806036276,0.773992747,0.239627717
2.6,8.938839869,0,70.02777778,4.241284945,-2.03174347,0.794390317,0.245443416
0.62,3.408590476,0,81.86111111,1.216476252,-0.502649209,0.351643534,0.602959061
0.58,2.165742857,0,55.02777778,0.658085873,-0.255422284,0.22707914,0.774811973
0.58,1.869676471,0,51.22222222,0.29364378,-0.111811604,0.177186903,0.772453817
0.7,2.609339869,0,56.97222222,0.395556426,-0.124344828,0.199463486,0.668337501
0.76,2.847301587,0,56.08333333,0.373324855,-0.127339529,0.219606475,0.599871728
0.38,1.661304762,0,68.41666667,0.267230085,-0.090521703,0.137417739,0.646932296
0.21,2.444819048,13.47222222,101.5277778,0.623506621,-0.19840934,0.151485246,0.793120889
0.1,1.163688889,31.75,96.19444444,0.566047794,-0.220261041,0.096221994,0.566169759
0.37,2.488606349,9.833333333,86.16666667,0.439300728,-0.146459962,0.172685718,0.828539836
0.31,2.227663492,14.52777778,87.16666667,0.352265949,-0.123599593,0.158077229,0.785862303
0.73,2.471142857,0,53.69444444,0.33648449,-0.145488194,0.223326962,0.662699091
0.58,2.699936508,0,73.66666667,0.439157856,-0.153924165,0.215357531,0.713890743
0.63,3.445806349,0,81.72222222,0.579687388,-0.207890736,0.275899868,0.623969886
0.43,2.991034921,0,91.25,0.377344102,-0.139756439,0.230788055,0.77719103
0.57,2.890025397,0,75.72222222,0.344008279,-0.128691613,0.226312864,0.717303485
0.7,2.856634921,0,65.11111111,0.306935484,-0.114464778,0.231579407,0.65402282
0.48,1.582536508,0,54,0.364353253,-0.123011864,0.165245602,0.629552053
0.08,0.444107937,19.25,62.75,0.234997686,-0.10637335,0.051030635,0.305554995
0.01,0.88068254,126.4166667,121.8888889,0.995760542,-0.358867925,0.050102663,0.649056825
0.07,0.784066667,38.36111111,80.11111111,0.514105993,-0.218795104,0.051323829,0.460846684
0.01,0.570584127,162.5555556,134.1111111,0.109037933,-0.062765823,0.058847796,0.603349472
0.23,1.257326984,29.55555556,93.66666667,0.221405027,-0.089676451,0.130708833,0.567123551
0,0.040234921,277,67.08333333,0.045987654,-0.026619048,0.003920528,0.79696962
0,0.037650794,210.25,134,0.033203753,-0.02477,0.004525324,0.741264465
0.02,2.054058824,121.9166667,121.25,1.3922046,-0.533352566,0.169493752,0.811033526
0,0.576574603,253.2777778,74.13888889,1.217542955,-0.462413793,0.045449089,0.808935853
